20230516005859,10.0.0.50,36794,10.0.0.7,65004,4,0.0-1.0,7471104,59768832
20230516005859,10.0.0.50,36790,10.0.0.7,65004,3,0.0-1.0,7602176,60817408
20230516005859,10.0.0.50,0,10.0.0.7,65004,-1,0.0-1.0,15073280,120586240
20230516005900,10.0.0.50,36794,10.0.0.7,65004,4,1.0-2.0,7733248,61865984
20230516005900,10.0.0.50,36790,10.0.0.7,65004,3,1.0-2.0,5242880,41943040
20230516005900,10.0.0.50,0,10.0.0.7,65004,-1,1.0-2.0,12976128,103809024
20230516005901,10.0.0.50,36794,10.0.0.7,65004,4,2.0-3.0,6291456,50331648
20230516005901,10.0.0.50,36790,10.0.0.7,65004,3,2.0-3.0,5242880,41943040
20230516005901,10.0.0.50,0,10.0.0.7,65004,-1,2.0-3.0,11534336,92274688
20230516005902,10.0.0.50,36794,10.0.0.7,65004,4,3.0-4.0,7602176,60817408
20230516005902,10.0.0.50,36790,10.0.0.7,65004,3,3.0-4.0,6553600,52428800
20230516005902,10.0.0.50,0,10.0.0.7,65004,-1,3.0-4.0,14155776,113246208
20230516005903,10.0.0.50,36794,10.0.0.7,65004,4,4.0-5.0,7602176,60817408
20230516005903,10.0.0.50,36790,10.0.0.7,65004,3,4.0-5.0,5111808,40894464
20230516005903,10.0.0.50,0,10.0.0.7,65004,-1,4.0-5.0,12713984,101711872
20230516005904,10.0.0.50,36794,10.0.0.7,65004,4,5.0-6.0,7471104,59768832
20230516005904,10.0.0.50,36790,10.0.0.7,65004,3,5.0-6.0,6553600,52428800
20230516005904,10.0.0.50,0,10.0.0.7,65004,-1,5.0-6.0,14024704,112197632
20230516005905,10.0.0.50,36794,10.0.0.7,65004,4,6.0-7.0,7733248,61865984
20230516005905,10.0.0.50,36790,10.0.0.7,65004,3,6.0-7.0,6553600,52428800
20230516005905,10.0.0.50,0,10.0.0.7,65004,-1,6.0-7.0,14286848,114294784
20230516005906,10.0.0.50,36794,10.0.0.7,65004,4,7.0-8.0,7602176,60817408
20230516005906,10.0.0.50,36790,10.0.0.7,65004,3,7.0-8.0,5242880,41943040
20230516005906,10.0.0.50,0,10.0.0.7,65004,-1,7.0-8.0,12845056,102760448
20230516005907,10.0.0.50,36794,10.0.0.7,65004,4,8.0-9.0,8912896,71303168
20230516005907,10.0.0.50,36790,10.0.0.7,65004,3,8.0-9.0,6684672,53477376
20230516005907,10.0.0.50,0,10.0.0.7,65004,-1,8.0-9.0,15597568,124780544
20230516005908,10.0.0.50,36794,10.0.0.7,65004,4,9.0-10.0,8912896,71303168
20230516005908,10.0.0.50,36790,10.0.0.7,65004,3,9.0-10.0,6684672,53477376
20230516005908,10.0.0.50,0,10.0.0.7,65004,-1,9.0-10.0,15597568,124780544
20230516005909,10.0.0.50,36794,10.0.0.7,65004,4,10.0-11.0,9043968,72351744
20230516005909,10.0.0.50,36790,10.0.0.7,65004,3,10.0-11.0,6422528,51380224
20230516005909,10.0.0.50,0,10.0.0.7,65004,-1,10.0-11.0,15466496,123731968
20230516005910,10.0.0.50,36794,10.0.0.7,65004,4,11.0-12.0,11796480,94371840
20230516005910,10.0.0.50,36790,10.0.0.7,65004,3,11.0-12.0,6553600,52428800
20230516005910,10.0.0.50,0,10.0.0.7,65004,-1,11.0-12.0,18350080,146800640
20230516005911,10.0.0.50,36790,10.0.0.7,65004,3,12.0-13.0,5111808,40894464
20230516005911,10.0.0.50,36794,10.0.0.7,65004,4,12.0-13.0,11534336,92274688
20230516005911,10.0.0.50,0,10.0.0.7,65004,-1,12.0-13.0,16646144,133169152
20230516005912,10.0.0.50,36790,10.0.0.7,65004,3,13.0-14.0,6684672,53477376
20230516005912,10.0.0.50,36794,10.0.0.7,65004,4,13.0-14.0,12713984,101711872
20230516005912,10.0.0.50,0,10.0.0.7,65004,-1,13.0-14.0,19398656,155189248
20230516005913,10.0.0.50,36794,10.0.0.7,65004,4,14.0-15.0,12320768,98566144
20230516005913,10.0.0.50,36790,10.0.0.7,65004,3,14.0-15.0,6422528,51380224
20230516005913,10.0.0.50,0,10.0.0.7,65004,-1,14.0-15.0,18743296,149946368
20230516005914,10.0.0.50,36794,10.0.0.7,65004,4,15.0-16.0,15597568,124780544
20230516005914,10.0.0.50,36790,10.0.0.7,65004,3,15.0-16.0,6684672,53477376
20230516005914,10.0.0.50,0,10.0.0.7,65004,-1,15.0-16.0,22282240,178257920
20230516005915,10.0.0.50,36790,10.0.0.7,65004,3,16.0-17.0,6553600,52428800
20230516005915,10.0.0.50,36794,10.0.0.7,65004,4,16.0-17.0,15335424,122683392
20230516005915,10.0.0.50,0,10.0.0.7,65004,-1,16.0-17.0,21889024,175112192
20230516005916,10.0.0.50,36790,10.0.0.7,65004,3,17.0-18.0,6553600,52428800
20230516005916,10.0.0.50,36794,10.0.0.7,65004,4,17.0-18.0,17432576,139460608
20230516005916,10.0.0.50,0,10.0.0.7,65004,-1,17.0-18.0,23986176,191889408
20230516005917,10.0.0.50,36794,10.0.0.7,65004,4,18.0-19.0,16515072,132120576
20230516005917,10.0.0.50,36790,10.0.0.7,65004,3,18.0-19.0,7864320,62914560
20230516005917,10.0.0.50,0,10.0.0.7,65004,-1,18.0-19.0,24379392,195035136
